"ร้านกาแฟกวนตีนกุมั้ย"
"@ARISA_SA__ เปรียบเทียบ ระหว่าง 7-11 และ ร้านกาแฟเปิดใหม่คับ ดีดแน่ๆๆวันนี้"
"จบหนึ่งวัน 
-ตื่นสาย นอนกลิ้งจนกว่าจะพอใจ
-ออกมากินข้าวร้านชิคๆที่อยากกิน 
-ไปนวดตัว คิดว่าจะชิลๆแต่เจ็บชิบหาย 
-นั่ง จิบกาแฟ รับลม แสงแดดจากทะเล
-กลับบ้านนอนดู Netflix
-คืนนี้นอนซักสี่ทุ่มดีกว่า 👍🏽 https://t.co/1fJKIdufhn"
"ร้านน่ารักมากกกกก กาแฟดีมาก ชาก็ดีมาก ฉันจะบ้าดีมากจริงๆ เจ้าของร้านก็น่ารักมากๆๆๆ เพลงก็ดี กลิ่นก็หอม โอ้ยยย https://t.co/4M6r43lVEf"
"⠀
     “มอตโต้ครับ” แม้ไม่ต้องเอ่ยออกมาตามตรง คนมากวัยกว่าอย่างบรรณกิจกลับสามารถเข้าใจจุดประสงค์ของเขาได้เป็นอย่างดี ปลายนิ้วถูกยกขึ้นมาชี้ไปยังที่ตั้งของร้านกาแฟเมื่อครู่ “ที่อยู่ตรงนั้น”
⠀"
"⠀
     “ยังไม่ได้ถามเลยครับ จะมาเซอร์ไพรส์นี่นา กะว่าซื้ออะไรเสร็จก่อนค่อยโทรหา”

     คนมากวัยกว่าไม่ได้มีท่าทีตำหนิเขาดั่งคาดไว้ก่อนหน้า นั่นทำให้นักแสดงหนุ่มวาดรอยยิ้มสว่างไสวบนริมฝีปากกระทั่งนัยน์ตาเรียวหยีลงคล้ายสระอิ ก่อนตบเท้าเลี้ยวเข้าร้านกาแฟที่ตั้งอยู่ระหว่างอาคาร
⠀"
"⠀
     “น้องโซลอยากให้พี่ไปด้วยไหม” รถยนต์สัญชาติเยอรมันถูกเลี้ยวเข้าจุดหมายอย่างโรงพยาบาลขนาดใหญ่ใจกลางกรุงเทพมหานคร คนมากวัยกว่าเอ่ยถามหลังจากพวกเขาทั้งคู่ลงมาหยุดยืนอยู่ทางด้านหน้าอาคารฉุกเฉิน “ถ้าเราอยากอยู่กับเพื่อน พี่ไปรอที่ร้านกาแฟในโรง’บาลได้นะ”
⠀"
"เชียงใหม่ธีมไม่นอน เพราะกินกาแฟทุกร้าน 🤣"
"@mignon982 ของร้านกาแฟค่ะ เค้าเลี้ยงต้นไม้เก่งมากกก"
"มีต่างชาติมาสั่งน้ำในร้านกาแฟ คนขายถามเป็นไทยแต่ลูกค้าตอบอิ้งตลอด แร้วคุยกันรุ้เรื่องอีก เริ่ด"
"รำคานพวกลุงๆป้าๆว่ะมารยาทในร้านกาแฟไม่มีเลยอะ มึงอยู่กันแค่นี้มั้ง"
"เจอม้าคที่ร้านกาแฟ https://t.co/jp7A8hMDac"
"@JenJen_only อาหารเหนือ: เจริญสวนแอก(มชล) บ้านไร่ยามเย็น หลองข้าวลำ ฮ้านถึงเชียงใหม่ 
Brunch : The Larder, mitte mitte
กาแฟ: ahka ama, Taste, Ming mitr(หอมละไม) Trailer 
มิชลิน(มชล): ขนมจีนสันป่าข่อย ครัวป้าอ้อย โรตีป้าเด 
ข้าวโซอิ ครัวซองค์ร้าน aritouch"
"ร้านนี้ กาแฟดีนะ ที่ กาฬสินธุ์ https://t.co/NTLAKwxNn2"
"ก็คือเมื่อเช้าไปคาเฟ่ช่ะ ละซัดกาแฟไป เรียบร้อย ตอนนี้ท้องเสียไม่หยุด 😂 คือร้านไม่มีเปลี่ยนนม แต่รสชาติขนมเขาดีมาก ชอบมาก เสียดายไปเช้าเกิน ขนมยังทำไม่เสร็จหลายอย่าง ตอนจะกลับเพิ่งเห็นเขามาเติมขนม กินอันนี้ไปคือดี ชิ้นละ 95 ร้านก็สวยดี https://t.co/s7M3PCujF6"
"กาแฟ เค้ก ครัวซองก็คือดีนะร้านนี้ ดีงามเลยอะ ชาวบางปูควรแวะไปลองนะ ราคาก็ไม่แรงมาก (แรงแหละแต่ไม่เท่าคาเฟ่ในกรุงเทพฯชั้นใน) ☕️🍰😋 https://t.co/WIE5dzTPus"
"Lilou &amp; Laliart - พี่อิงเลือกร้านให้ ปะป๊าชอบกาแฟส้มกับแมคคาเดเมียมาก ชอคกะแลตคาราเมลไม่หวานมากก้โอเคอยู่ๆ ม้ากิน hondurus latte ก้โอเค ผ่านอยุ #ployxfoods https://t.co/4GamPmeR7I"
"นั่งทำงานชิลล์ๆ กาแฟร้านงามริมโขง @ 76A The Space https://t.co/kGk73gUetW"
