_id,full_id,lat,long,name
6216745c4a0d2cd7d5a80376,n907784572,18.74305,98.96222,"Swensen's"
6216745c4a0d2cd7d5a8037d,n1074595752,18.79818,98.96686,Mont Blanc
6216745c4a0d2cd7d5a8038e,n1173899486,18.76855,99.00627,Miracle Coffee
6216745c4a0d2cd7d5a80387,n1129280654,18.79455,98.99341,Our House Coffee Shop
6216745c4a0d2cd7d5a80383,n1107234875,18.78557,98.9876,Coffee Bull
6216745c4a0d2cd7d5a80378,n955952427,18.78374,99.0163,Hungry Crust
6216745c4a0d2cd7d5a803bc,n2039957239,18.78835,98.98685,บ้านลุงหมี
6216745c4a0d2cd7d5a803aa,n1685453396,18.77001,98.99877,Arom D Shop
6216745c4a0d2cd7d5a80377,n907784576,18.7431,98.9619,Black Canyon Coffee
6216745c4a0d2cd7d5a8038b,n1169723115,18.83874,98.89653,Highland Agricultural Research Stn. Coffee Shop
6216745c4a0d2cd7d5a80375,n822570109,18.78436,98.99647,Pordee
6216745c4a0d2cd7d5a8037b,n1058639339,18.6684,98.9137,Country Home
6216745c4a0d2cd7d5a803a9,n1618868156,18.78238,98.98997,Doi Chaang
6216745c4a0d2cd7d5a80374,n336237972,18.78802,98.99366,Starbucks
6216745c4a0d2cd7d5a80379,n1006843145,18.78547,98.98848,Cafe de Thaan Aoan
6216745c4a0d2cd7d5a80385,n1127593603,18.80001,98.96723,Doi Tung
6216745c4a0d2cd7d5a8038f,n1314781606,18.77382,99.04159,"Ma Che're"
6216745c4a0d2cd7d5a80391,n1368674790,18.77348,98.999,กาแฟปางขอน
6216745c4a0d2cd7d5a803b9,n2005925281,18.75974,98.91379,บ้านสวนกาแฟ
6216745c4a0d2cd7d5a803bb,n2039805560,18.75717,99.04898,Coffee Corner
6216745c4a0d2cd7d5a803b1,n1797002637,18.79745,98.96837,Marble Arch
6216745c4a0d2cd7d5a803c9,n2099411789,18.79786,98.96461,Wawee Coffee
6216745c4a0d2cd7d5a803b3,n1797039541,18.79674,98.96966,Dejavu Cafe
6216745c4a0d2cd7d5a803d0,n2341954681,18.76542,99.03736,Black Canyon Coffee
6216745c4a0d2cd7d5a803d5,n2419667430,18.7882,98.98535,Rajdamnoen Coffee
6216745c4a0d2cd7d5a803b5,n1819858250,19.21825,98.67071,ร้านกาแฟบ้านแม่มด
6216745c4a0d2cd7d5a803c8,n2099411773,18.79467,98.96613,Cosmos Cafe
6216745c4a0d2cd7d5a803e8,n2505598106,18.79425,98.96893,ไอเบอร์รี่
6216745c4a0d2cd7d5a803d7,n2434777647,18.80302,98.95415,Him Tang
6216745c4a0d2cd7d5a803f7,n2590253491,18.87914,99.06098,เกียว ไอศครีมกะทิ
6216745c4a0d2cd7d5a80400,n2618260105,17.79684,98.35723,โจโจ้ อินเตอร์เน็ต
6216745c4a0d2cd7d5a80406,n2648382125,18.78939,99.00421,Wawee
6216745c4a0d2cd7d5a80407,n2648443313,18.77706,99.00761,เฮือนโบราณ ฮิมปิง
6216745c4a0d2cd7d5a80412,n2660438583,18.79626,98.96576,Dude Cafe
6216745c4a0d2cd7d5a80416,n2682493524,18.80872,99.01262,เฮือนซาลาเปา
6216745c4a0d2cd7d5a8042d,n3091942614,18.80811,98.99505,กาแฟรสนิยม
6216745c4a0d2cd7d5a80438,n3174252561,18.68733,98.94743,Casa Shadé
6216745c4a0d2cd7d5a80418,n2682577300,18.82594,99.01189,ฝ้ายเบเกอรี่
6216745c4a0d2cd7d5a8043d,n3184594340,18.8467,99.07953,ใบทอง บวยเลิฟ
6216745c4a0d2cd7d5a80429,n2984537933,18.78567,99.00915,Coffee Journey
6216745c4a0d2cd7d5a80442,n3207247636,18.79727,99.00239,Oldies
6216745c4a0d2cd7d5a80432,n3116053111,18.80649,99.01766,Starbucks
6216745c4a0d2cd7d5a8045c,n3287846761,18.79759,98.96927,Goat Coffee
6216745c4a0d2cd7d5a8044f,n3256172105,18.74881,98.89025,Doi Chaang
6216745c4a0d2cd7d5a80478,n3347633205,18.76978,98.97521,สตาร์บัคส์
6216745c4a0d2cd7d5a8047c,n3369589470,18.78986,98.9706,Café Amazon
6216745c4a0d2cd7d5a80463,n3311240961,18.80383,98.97238,Bakerista
6216745c4a0d2cd7d5a8047d,n3369589473,18.78998,98.97061,QQ Cafe
6216745c4a0d2cd7d5a80466,n3317920525,18.79642,98.98303,Café Amazon
6216745c4a0d2cd7d5a80485,n3384141891,18.78284,98.98271,Nok Kafe
6216745c4a0d2cd7d5a80488,n3385505418,18.79191,98.97898,"Tikky's Café"
6216745c4a0d2cd7d5a8048e,n3400287976,18.79625,98.96607,Fruiturday
6216745c4a0d2cd7d5a80493,n3412153330,18.75568,99.01807,Hugs Coffee
6216745c4a0d2cd7d5a804ad,n3426400071,18.79867,98.96864,Janie Scoop
6216745c4a0d2cd7d5a804b6,n3461566102,18.79623,99.04759,Rice Life
6216745c4a0d2cd7d5a804b2,n3431033697,18.79986,98.96752,Home Sit
6216745c4a0d2cd7d5a804ca,n3843126639,18.77915,98.98873,Cozy Cafe
6216745c4a0d2cd7d5a804bf,n3643666024,18.75868,98.94348,เมา กาแฟ
6216745c4a0d2cd7d5a804d6,n3907605475,18.7822,98.98976,Trailhead Café
6216745c4a0d2cd7d5a804c9,n3832005201,18.65485,98.86489,แกะดำฉำฉา
6216745c4a0d2cd7d5a804ce,n3851644959,19.32846,98.92814,Food
6216745c4a0d2cd7d5a804dd,n3927203442,18.7508,98.92521,Café Amazon
6216745c4a0d2cd7d5a804e5,n3935432857,18.78919,98.95521,Ocha Coffee
6216745c4a0d2cd7d5a804f4,n4129821990,18.78566,98.9875,Coffee Cop
6216745c4a0d2cd7d5a80500,n4217131891,18.78647,98.98215,The Juicery
6216745c4a0d2cd7d5a804ef,n4067975166,18.74762,99.0092,กาแฟยิ้มยิ้ม
6216745c4a0d2cd7d5a80515,n4358605082,18.78791,98.9626,Inbox Coffee
6216745c4a0d2cd7d5a804f0,n4069454731,18.76199,99.00157,เคลิ้มกาแฟ
6216745c4a0d2cd7d5a8050c,n4333425791,18.80229,98.96646,Tiger TED Cafe
6216745c4a0d2cd7d5a8051c,n4359739852,18.78898,98.96513,"Ice Love You Cafe'"
6216745c4a0d2cd7d5a80535,n4505551231,18.79986,98.97462,Ombra Cafe
6216745c4a0d2cd7d5a80542,n4554412845,18.75947,99.13959,Near Mom Cafe
6216745c4a0d2cd7d5a80539,n4514610993,18.79098,98.97847,Mix Kaffee
6216745c4a0d2cd7d5a8054e,n4594757865,18.97391,98.94586,Love@Rimrin
6216745c4a0d2cd7d5a8054a,n4586796889,18.78117,98.99413,Ma-Chill
6216745c4a0d2cd7d5a80565,n4725230318,18.75608,99.05094,Saha Coffee
6216745c4a0d2cd7d5a8054b,n4591854123,18.48296,98.80221,เดอดอยหล่อ
6216745c4a0d2cd7d5a8039b,n1477720119,18.78209,98.9945,Hawaiian Son
6216745c4a0d2cd7d5a803a7,n1616053536,18.79561,98.97611,"Swensen's"
6216745c4a0d2cd7d5a803ad,n1796992465,18.79774,98.96738,Ninety-Four Coffee
6216745c4a0d2cd7d5a803b2,n1797019229,18.79732,98.97,O-B-One Coffee & Juice
6216745c4a0d2cd7d5a803e4,n2466333305,18.78723,98.98979,Coffee in Narrow
6216745c4a0d2cd7d5a803fe,n2617030206,17.80021,98.3581,ร้านกาแฟ
6216745c4a0d2cd7d5a80423,n2865857601,18.8077,99.01821,"Gloria Jean's Coffee"
6216745c4a0d2cd7d5a8042a,n3058738323,18.79802,98.97383,"Beck's Cafe"
6216745c4a0d2cd7d5a80430,n3107256389,19.08258,98.93666,Café Amazon
6216745c4a0d2cd7d5a80435,n3152478861,18.79848,99.01756,Coffee House
6216745c4a0d2cd7d5a8045e,n3298008463,18.80337,98.98032,Coffee Champ
6216745c4a0d2cd7d5a80467,n3318180867,18.79673,98.97598,สตาร์บัคส์
6216745c4a0d2cd7d5a80476,n3347631782,18.76937,98.97559,Coffee World
6216745c4a0d2cd7d5a80483,n3384100280,18.78566,98.98316,Coffee Lovers
6216745c4a0d2cd7d5a80487,n3385494997,18.79339,98.98203,Fern Forest Cafe
6216745c4a0d2cd7d5a804b8,n3490771193,18.79831,99.02236,"Swensen's"
6216745c4a0d2cd7d5a804ba,n3540899195,18.83506,99.0372,"Dunkin' Donuts"
6216745c4a0d2cd7d5a804c1,n3670606396,18.78321,98.9927,Moon Muang
6216745c4a0d2cd7d5a804f2,n4089415962,18.70694,99.02667,Doi Chaang Coffee
6216745c4a0d2cd7d5a804fd,n4208599025,19.62441,99.12892,Cafe de Time
6216745c4a0d2cd7d5a80503,n4248786004,18.77171,98.94751,บีซู คาเฟ่
6216745c4a0d2cd7d5a80508,n4281954591,18.79369,98.99221,Mild
6216745c4a0d2cd7d5a80518,n4358831080,18.79134,98.95927,ร้านกาแฟสังคม
6216745c4a0d2cd7d5a80525,n4413425463,18.80738,98.95705,Cafe Amazon
6216745c4a0d2cd7d5a80538,n4513838582,18.15103,98.2451,Cafe Klang Doi
6216745c4a0d2cd7d5a80543,n4555359051,18.76502,98.95312,Asama
6216745c4a0d2cd7d5a80555,n4596413946,18.79506,98.96357,October
6216745c4a0d2cd7d5a80560,n4641683190,18.79446,98.97332,ชีวิตคนธรรมดา
6216745c4a0d2cd7d5a803ee,n2531723595,18.90601,99.13512,Le Cafe Doisaket
6216745c4a0d2cd7d5a803f1,n2554099859,18.7994,98.9739,Sudsanan
6216745c4a0d2cd7d5a803f6,n2590185727,18.7819,98.98076,คำ-ม่อน
6216745c4a0d2cd7d5a80440,n3197689690,18.78941,98.98283,Tree Sis Coffee
6216745c4a0d2cd7d5a80446,n3237872029,18.79529,98.99657,Coffee & Bakery
6216745c4a0d2cd7d5a8045b,n3287829862,18.79753,98.96947,Timely Cafe
6216745c4a0d2cd7d5a80461,n3305560828,18.79003,98.99002,Ponganes
6216745c4a0d2cd7d5a80462,n3311199585,18.80024,98.97539,กาแฟสารภี
6216745c4a0d2cd7d5a80481,n3379414262,19.16864,98.69114,Hi Coffee
6216745c4a0d2cd7d5a80482,n3380623726,18.7941,98.97293,T@31 Coffee
6216745c4a0d2cd7d5a80484,n3384119221,18.7867,98.98236,Blue Note
6216745c4a0d2cd7d5a804ac,n3421308693,18.79638,98.9685,Mango Tango
6216745c4a0d2cd7d5a804b9,n3498459991,18.78462,98.9592,Café Amazon
6216745c4a0d2cd7d5a804d2,n3884665393,17.40543,98.45554,ณ แม่ตื๋น คาเฟ่
6216745c4a0d2cd7d5a804d5,n3906212509,18.76538,98.99158,Café Amazon
6216745c4a0d2cd7d5a804dc,n3924966402,18.91918,98.94325,Café Amazon
6216745c4a0d2cd7d5a8052c,n4441486862,18.80269,98.98231,Moom la Moon Café
6216745c4a0d2cd7d5a80531,n4461682615,18.86515,99.34742,Ted Du Coffee
6216745c4a0d2cd7d5a80541,n4553735161,19.17411,99.03027,Top Coffee
6216745c4a0d2cd7d5a80544,n4556047500,18.75351,99.12936,Coffactry
6216745c4a0d2cd7d5a8055a,n4608389285,18.84394,99.01811,Aleenta Coffea
6216745c4a0d2cd7d5a8037f,n1093720093,18.76621,99.08301,Coffee Time
6216745c4a0d2cd7d5a80392,n1377321248,18.72204,99.02644,บ้านแยมโรล
6216745c4a0d2cd7d5a80394,n1446804460,18.77982,99.04402,มิราเคิลกาแฟ
6216745c4a0d2cd7d5a80396,n1474870808,18.76813,98.9683,Ninety-Four Coffee
6216745c4a0d2cd7d5a80398,n1474872064,18.76937,98.96833,Caffe Ritazza
6216745c4a0d2cd7d5a803a4,n1595585867,18.78784,98.99448,Java Coffee
6216745c4a0d2cd7d5a803a8,n1618868154,18.7834,98.9853,กูดมอนิ่งเชียงใหม่
6216745c4a0d2cd7d5a803b8,n1974754623,18.84868,98.95661,Kaffee Bitte
6216745c4a0d2cd7d5a803cf,n2341902528,18.76642,99.03772,Mochi
6216745c4a0d2cd7d5a803e5,n2488959596,18.8659,99.35571,ร้านกาแฟชมนกชมไม้
6216745c4a0d2cd7d5a803ed,n2530435333,18.80238,98.97939,ขนมหวาน
6216745c4a0d2cd7d5a803ef,n2543122637,19.0449,99.34211,Nine One Coffee
6216745c4a0d2cd7d5a803f0,n2544996945,18.60487,98.79185,Food
6216745c4a0d2cd7d5a803f9,n2598509572,18.79081,98.98768,Kaffe 151
6216745c4a0d2cd7d5a803fb,n2609583867,18.80928,98.96317,Latte Delight
6216745c4a0d2cd7d5a803fc,n2610694860,18.92202,98.99395,Cafe Long Do
6216745c4a0d2cd7d5a80401,n2628382300,18.78415,98.99279,เฮือนคำปิน
6216745c4a0d2cd7d5a8042b,n3063226177,18.8748,99.13625,ที่นี่ ลีลาวดี
6216745c4a0d2cd7d5a80431,n3112473832,18.86591,99.15034,Eden Cafe
6216745c4a0d2cd7d5a8044a,n3247133753,18.94166,98.88727,บ้านดอย
6216745c4a0d2cd7d5a80464,n3311605585,18.8049,98.96936,Miracle Coffee
6216745c4a0d2cd7d5a8046b,n3326560610,18.78146,99.00319,L‘Opéra
6216745c4a0d2cd7d5a80477,n3347631783,18.76955,98.97493,Fang Coffee
6216745c4a0d2cd7d5a80495,n3414272474,18.78427,98.99597,Crema Cafe
6216745c4a0d2cd7d5a8049a,n3417316793,18.79708,98.96609,Yesterday
6216745c4a0d2cd7d5a804ab,n3421300374,18.79514,98.96815,Goong
6216745c4a0d2cd7d5a804c3,n3699435615,18.76213,99.03023,Ramino de Cafe
6216745c4a0d2cd7d5a804cb,n3843126641,18.78972,98.98769,La Mango
6216745c4a0d2cd7d5a804db,n3912487220,18.91177,98.82592,โป่งแยงเบอร์รี่-วินดี้ฮิลล์
6216745c4a0d2cd7d5a804f8,n4173012792,18.76032,98.99813,錯誤
6216745c4a0d2cd7d5a80505,n4262547890,19.10784,99.04059,Graveyard View
6216745c4a0d2cd7d5a80507,n4265515989,18.80428,98.96786,Cottontree
